dataset_number,physics_short,e-tag,crossSection_pb,genFiltEff,kFactor,nEvents,totalWeight,scaledWeight,process,generator,keywords,description,job_path,,,,,,,,,,,,,,,,,,,scaledWeights = crossSection_pb*
305574,Pythia8EvtGen_A14NNPDF23LO_Gmumu_01_2000,e5080,0.011387,1.00E+00,1,,,#DIV/0!,RS Graviton -> mu mu,Pythia8(v8.210)+EvtGen(v1.2.0),"['BSM', 'RandallSundrum', 'exotic', 'graviton']","RS Graviton > mumu, m = 2000. GeV, kappaMG = 0.524.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID305xxx/MC15.305574.Pythia8EvtGen_A14NNPDF23LO_Gmumu_01_2000.py,,,,,,,,,,,,,,,,,,,
305577,Pythia8EvtGen_A14NNPDF23LO_Gmumu_01_3000,e5080,0.00070262,1.00E+00,1,,,#DIV/0!,RS Graviton -> mu mu,Pythia8(v8.210)+EvtGen(v1.2.0),"['BSM', 'RandallSundrum', 'exotic', 'graviton']","RS Graviton > mumu, m = 3000. GeV, kappaMG = 0.524.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID305xxx/MC15.305577.Pythia8EvtGen_A14NNPDF23LO_Gmumu_01_3000.py,,,,,,,,,,,,,,,,,,,
305580,Pythia8EvtGen_A14NNPDF23LO_Gmumu_01_4000,e5080,6.44E-05,1.00E+00,1,,,#DIV/0!,RS Graviton -> mu mu,Pythia8(v8.210)+EvtGen(v1.2.0),"['BSM', 'RandallSundrum', 'exotic', 'graviton']","RS Graviton > mumu, m = 4000. GeV, kappaMG = 0.524.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID305xxx/MC15.305580.Pythia8EvtGen_A14NNPDF23LO_Gmumu_01_4000.py,,,,,,,,,,,,,,,,,,,
305710,MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM500,e5176,0.018275,8.78E-01,1,10000,10000,1.60E-02,pp>chichiz,MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'WIMP', 'exotic']","Wimp pair monoZ with dmV, DM at 1 GeV, mediator at 500 GeV, 40 GeV MET filter",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID305xxx/MC15.305710.MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM500.py,,,,,,,,,,,,,,,,,,,
305711,MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM700,e5176,0.007416,8.95E-01,1,10000,10000,6.64E-03,pp>chichiz,MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'WIMP', 'exotic']","Wimp pair monoZ with dmV, DM at 1 GeV, mediator at 700 GeV, 40 GeV MET filter",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID305xxx/MC15.305711.MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM700.py,,,,,,,,,,,,,,,,,,,
306085,MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM200,e5337,0.1424,7.85E-01,1,10000,10000,1.12E-01,pp>chichiz,MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'WIMP', 'exotic']","Wimp pair monoZ with dmV, DM at 1 GeV, mediator at 200 GeV, 40 GeV MET filter",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID306xxx/MC15.306085.MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM200.py,,,,,,,,,,,,,,,,,,,
306093,MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM400,e5337,0.031865,8.59E-01,1,10000,10000,2.74E-02,pp>chichiz,MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'WIMP', 'exotic']","Wimp pair monoZ with dmV, DM at 1 GeV, mediator at 400 GeV, 40 GeV MET filter",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID306xxx/MC15.306093.MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM400.py,,,,,,,,,,,,,,,,,,,
306103,MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM600,e5337,0.01136,8.83E-01,1,10000,10000,1.00E-02,pp>chichiz,MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'WIMP', 'exotic']","Wimp pair monoZ with dmV, DM at 1 GeV, mediator at 600 GeV, 40 GeV MET filter",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID306xxx/MC15.306103.MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM600.py,,,,,,,,,,,,,,,,,,,
306109,MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM800,e5337,0.005016,9.01E-01,1,10000,10000,4.52E-03,pp>chichiz,MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.186)+EvtGen(v1.2.0),"['BSM', 'WIMP', 'exotic']","Wimp pair monoZ with dmV, DM at 1 GeV, mediator at 800 GeV, 40 GeV MET filter",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID306xxx/MC15.306109.MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM800.py,,,,,,,,,,,,,,,,,,,
307431,MadGraphPythia8EvtGen_A14NNPDF23LO_RS_G_ZZ_llll_c10_m0200,e5614,1.86,1.00E+00,1,29000,29000,1.86E+00,pp>Graviton>ZZ>llll,MadGraph5_aMC@NLO(v2.3.3.p1)+Pythia8(v8.212)+EvtGen(v1.2.0),"['bsm', 'exotic', 'graviton', 'randallsundrum', 'warpeded']",Bulk RS Graviton Signal Point,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID307xxx/MC15.307431.MadGraphPythia8EvtGen_A14NNPDF23LO_RS_G_ZZ_llll_c10_m0200.py,,,,,,,,,,,,,,,,,,,
307434,MadGraphPythia8EvtGen_A14NNPDF23LO_RS_G_ZZ_llll_c10_m0500,e5614,0.02373,1.00E+00,1,27000,27000,2.37E-02,pp>Graviton>ZZ>llll,MadGraph5_aMC@NLO(v2.3.3.p1)+Pythia8(v8.212)+EvtGen(v1.2.0),"['bsm', 'exotic', 'graviton', 'randallsundrum', 'warpeded']",Bulk RS Graviton Signal Point,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID307xxx/MC15.307434.MadGraphPythia8EvtGen_A14NNPDF23LO_RS_G_ZZ_llll_c10_m0500.py,,,,,,,,,,,,,,,,,,,
307439,MadGraphPythia8EvtGen_A14NNPDF23LO_RS_G_ZZ_llll_c10_m1500,e5614,3.70E-05,1.00E+00,1,30000,30000,3.70E-05,pp>Graviton>ZZ>llll,MadGraph5_aMC@NLO(v2.3.3.p1)+Pythia8(v8.212)+EvtGen(v1.2.0),"['bsm', 'exotic', 'graviton', 'randallsundrum', 'warpeded']",Bulk RS Graviton Signal Point,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID307xxx/MC15.307439.MadGraphPythia8EvtGen_A14NNPDF23LO_RS_G_ZZ_llll_c10_m1500.py,,,,,,,,,,,,,,,,,,,
341081,aMcAtNloHerwigppEvtGen_UEEE5_CTEQ6L1_CT10ME_ttH125_gamgam,e4277,0.00115938,1,1,927400,485440,6.07E-04,pp>ttH,MadGraph5_aMC@NLO(2.2.2.p4)+Herwigpp(v2.7.1)+EvtGen(v1.2.0),"['Higgs', 'SM']",MG5_aMC@NLO_Herwigpp_ttH',https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID341xxx/MC15.341081.aMcAtNloHerwigppEvtGen_UEEE5_CTEQ6L1_CT10ME_ttH125_gamgam.py,,,,,,,,,,,,,,,,,,,
